hotel_name,location,price,original_price,ratings,score,reviews,rooms,beds,breakfast,transportation,metro_access,cancellation_policy,center_distance,tax_charges
Calabash Luxury Villa Hotel Delhi Airport - Free Airport Drop,"Aerocity, New Delhi (Aerocity)","12,597","31,494",Exceptional,10.0,3,Double Room,1 double bed,Breakfast included,Airport shuttle (free),Metro access,Free cancellation,13.6 km from centre,630
"HOTEL UPTOWN with Luxury Restaurant & Rooftop Near Connaught Place, New Delhi City Centre","Paharganj, New Delhi (Chandni Chowk)","31,950","71,000",Very good,8.2,878,Family Suite With Window - Perfect For 3-4 Adults,"2 beds (1 single, 1 extra-large double)",,,Metro access,Free cancellation,1.4 km from centre,"1,598"
Holiday Inn New Delhi Aerocity by IHG,"Aerocity, New Delhi (Aerocity)","107,131","107,131",Fabulous,8.9,"7,271",One King Bed Standard - Non Smoking Pool view,1 extra-large double bed,,Swimming pool,Metro access,No prepayment needed – pay at the property,13.5 km from centre,"22,498"
Hotel Pearl Plaza - In City Centre Connaught Place & Walk IN NDLS Station,"Paharganj, New Delhi (Chandni Chowk)","19,081","23,852",Fabulous,8.6,384,Superior Triple Room,"2 beds (1 single, 1 large double)",,Free parking,Metro access,Free cancellation,1.4 km from centre,954
The Tivoli New Delhi,"Chattarpur, New Delhi","70,000","140,000",Good,7.9,73,Deluxe Double Room,1 double bed,,Swimming pool,No Metro,,15.8 km from centre,"12,600"
dull,New Delhi,"17,998","59,994",,0.0,0,Deluxe King Room,1 large double bed,,,No Metro,Free cancellation,10.5 km from centre,"2,160"
The Delhi Dreams - A Luxury Hotel,"Paharganj, New Delhi (Chandni Chowk)","39,000","78,000",Exceptional,10.0,4,Executive Triple Room - Perfect for 3-4 Adults,"2 beds (1 single, 1 large double)",,Hot tub/Jacuzzi,No Metro,Free cancellation,1.6 km from centre,"1,950"
FabExpress Le Continental - Nr New Delhi Railway Station,"Central Delhi, New Delhi","13,154","25,296",Good,7.3,230,Deluxe Room,1 double bed,,Airport shuttle (free),No Metro,,1.8 km from centre,658
"The Ashok, New Delhi","Chanakyapuri, New Delhi","93,275","93,275",Review score,6.0,"1,795",Executive Room,1 large double bed,Breakfast included,Free parking,No Metro,,4.9 km from centre,"16,790"
The LaLiT New Delhi,New Delhi,"243,072","303,840",Very good,8.0,"3,555","Executive Suite - 10% discount on Food & soft beverages, Laundry & Spa",Private suite1 extra-large double bed,Breakfast included,Swimming pool,Metro access,,0.7 km from centre,"43,753"
"Svelte Delhi, a member of Radisson Individuals","Saket, New Delhi","82,494","82,494",Very good,8.0,472,Premium Room with 15% discount on laundry,Multiple bed types,Breakfast included,Swimming pool,No Metro,No prepayment needed – pay at the property,11.8 km from centre,"14,849"
Golden Tulip New Delhi - Hari Nagar,"West Delhi, New Delhi (Hari Nagar)","27,794","27,794",Review score,6.2,122,"Superior 01 Double Bed Room, 220 Sq Ft",,,Free parking,No Metro,No prepayment needed – pay at the property,10.8 km from centre,"1,390"
Hotel The Royal Plaza,New Delhi,"245,000","245,000",Review score,5.9,816,Royal Junior Suite - 15% Discount on Food & Soft Beverages,Private suite1 extra-large double bed,Breakfast included,Swimming pool,Metro access,,1.6 km from centre,"44,100"
The Leela Palace New Delhi,New Delhi,"336,000","336,000",Superb,9.4,"1,959",Run Of The House,"2 beds (1 single, 1 extra-large double)",Breakfast included,Swimming pool,No Metro,,7 km from centre,"60,480"
