hotel_name,location,price,original_price,ratings,score,reviews,rooms,beds,breakfast,transportation,metro_access,cancellation_policy,center_distance,tax_charges
"Hotel Aman Grand New Delhi # Mahipalpur # Restaurant, Lift, # Top Rated Property","Mahipalpur, Delhi",18900,18900,Good,7.4,33,Double Room,1 double bed,N/A,Free parking,No Metro,Free cancellation,15.8 km from centre,945
FlexiBay-Affordable Hostel in North Delhi,"North Delhi, Delhi",12420,12420,Review score,6.5,22,Deluxe Double Room,1 double bed,N/A,Free parking,No Metro,No prepayment needed – pay at the property,6.6 km from centre,621
Hotel Church House - Rohini I Near Metro I Spacious Rooms I Friendly Staff I Most Preferred Hotel In Rohini,"Rohini, Delhi",13975,41103,Very good,8.3,14,Family Room with Balcony,1 large double bed,N/A,Free parking,No Metro,Free cancellation,12.3 km from centre,699
Super Hotel O Fazalpur,"East Delhi, Delhi",15039,23871,Good,7.6,33,Standard Double Room,2 large double beds,N/A,N/A,Metro access,Free cancellation,7.9 km from centre,760
Super Hotel O Dream Palace,Delhi,10174,16149,Review score,5.0,3,Classic Triple Room,1 large double bed,N/A,N/A,No Metro,Free cancellation,18.8 km from centre,815
Super Hotel O BAL GOPAL,"North Delhi, Delhi",8996,18359,Review score,4.3,3,Classic Triple Room,1 large double bed,N/A,N/A,No Metro,Free cancellation,26.7 km from centre,654
The Royal Suites,"West Delhi, Delhi",81000,81000,N/A,0.0,0,Three-Bedroom Apartment with Balcony,"Entire apartment • 3 bedrooms • 1 living room • 3 bathrooms • 1 kitchen • 26 m²3 beds (1 extra-large double, 2 large doubles)",N/A,Free parking,No Metro,N/A,10.4 km from centre,14580
Hotel Grand C & G at Central Delhi New Delhi,"Paharganj, Jāmb (Chandni Chowk)",11998,29994,Good,7.8,39,Triple Room with View,"2 beds (1 single, 1 double)",N/A,N/A,No Metro,Free cancellation,N/A,600
Hotel Sona Dx Newly Built Near Connaught place & City Centre,"Paharganj, Jāmb (Chandni Chowk)",360000,360000,Exceptional,10,5,Queen Room,2 double beds,N/A,N/A,No Metro,Free cancellation,N/A,64800
Metro POD Hotel at New Delhi Metro & Railway Station,"Chandni Chowk, New Delhi (Chandni Chowk)",9648,14400,Very good,8.5,88,Bed in 10-Bed Mixed Dormitory Room,3 beds in dormitories3 bunk beds,N/A,N/A,Metro access,No prepayment needed – pay at the property,N/A,482
The Delhi Dreams - A Luxury Hotel,"Paharganj, New Delhi (Chandni Chowk)",39000,78000,Exceptional,10,4,Executive Triple Room - Perfect for 3-4 Adults,"2 beds (1 single, 1 large double)",N/A,Hot tub/Jacuzzi,No Metro,Free cancellation,N/A,1950
Hotel Geet Deluxe at New Delhi Railway Station,"Paharganj, New Delhi (Chandni Chowk)",25629,32036,Superb,9.0,22,Deluxe Double Room,2 double beds,N/A,N/A,No Metro,Free cancellation,N/A,1281
Novotel New Delhi City Centre,"Central Delhi, New Delhi",122200,122200,Very good,8.4,273,Standard Deluxe Twin Room,4 single beds,N/A,Swimming pool,No Metro,N/A,N/A,21996
